platform,type,query,title,description,url,display_url,creative_image,position,timestamp,is_premium
Яндекс,Яндекс.Директ,туры по россии,rtoperator.ru›-Туры-выходного-дня…,Работаем 17 лет. Скидка до 7%! Доставка бесплатно! · Доставка бесплатно. Работаем 17 лет. Скидка до 7%. Подбор тура,https://yabs.yandex.ru/count/WkGejI_zOoVX2LaK0xKM0ADecoMSm0cOlM42UZFyj_j0m7i10HtwV2vtzco_S-SDTxv-n-iDTxWvh452DQpL7BVzp55a92J3YfJ3McHKbCCQXBHab9J3UdH3wIT75Sd8nWqhZHnGQ9xVjYsTFg4vga97EQREfpDtJdCScgCg92D7ZgeGDKUEgb1GZX6irIBgZHn9IoMKg4f9-8tZqwSjnQEsS-h4RPjwewXQ6yamAgeQpRXHWyGDf2Kb4aj88v2CbAX8rYCZ9QGHDcpOcDi1KpPFN9TMZf5A7y6CixGD3C2WusW2aO-FZuzF2OmfSW5Q65E51MXXJ14Me8Kn5QK0BOofmGAqCAQW5A25CILOWBP5d5REryGI3Dl67cvUETsagguu5Zq-jUsqQ-fGZVl6RUdJ6PNUk5CwjQEurAwZKgWJbqBp9nGwVKQbDWiSh8S2PACJyjMvOBdnsi5WwM3_EPzlc00tW0FOmCs18lR5AUodfTMmDyD-MbeDsnwoH06uz5HDsLj52V96ist3OVX0MWq90Np1c1eCOEk0RkKj8gGmpfjsmOp1HnBz3SaWE6jXQuAADWG6RX2p5dRGOKqUUXIsTqw-n92REXRCf6Fr634pHlSmPWqUv18WSEKhWXaO512ndC4b9wQfHpU_KuDMFypisf4_-00VYFzR0sRaUsl0Z7mkXowHltiltUnhAuYY_TaAecYPPXb39CooZ24IvdZNTLsdpHQWD45oqJofHT8xpPDQ9BsbktoPDZoCycJFbwKZqezf3px0SGeXcF_Y6DnruFajhUjwvE2k0yzh_P4o9OHaFkkPkLAfL0hLQ0MmlPxLCJ1hbB_9Bet60KzQw23yXoThZU2lOvoiIs3bY6cuK2jUSWlzDjByO4ACo8gjYPuoKO38DWMYQAmmlkCBzyHNf673eIpy_i7gqmZofco-tNx2zQR0N0_IKGS6mUs9CR35_yhFwBndNrYBHZwg3uci93AOCm00~2?etext=2202.lPP8dNumDTdkl_VluqL5DNi5VsqkmpLuK9B-iijGu-ZkZ3FsbWVrYmxwcGFkY3Nw.b86ace08a2a399b438176f6797e700fd6a502568&from=yandex.ru%3Bsearch%26%23x2F%3B%3Bweb%3B%3B0%3B&q=%D1%82%D1%83%D1%80%D1%8B+%D0%BF%D0%BE+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8,yabs.yandex.ru,,1,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,level.travel›Туры-без-визы-из-Мос...,Лучшие цены на путевки без визы. Бронируйте выгодно! · Быстрое подтверждение. Надёжные туроператоры. Поддержка 24/7. Скидки и купоны. Удобная оплата. Удобный поиск,https://yabs.yandex.ru/count/WqmejI_zOoVX2LcM0_KP07CkiYMSm0cOlM42UZFyj_j0mBj4G8S-dykTFTllt7d3dQ_VyNh37Uu92qwCOAqMKJMeNx0eeJHqfOPu_bI5dYUc89meGFmydtSKwepYjzHfH--fSmhDxHnL8MgE_7RYEJvrGg4vga8oSbI5WdBys3OqlwEt57f3SrI5XegSKAapZq9jEuSDQz7Fq13rvmQIKj6IKL2Dj6Iaz6DL4agggKdLdolIJ_N6Zz88rY8aAn2HjOPH4Gbgab2D7oCAI525afAMMjGsZ8AIZ2OWOKKo6ZeQmKfYo5g3YgGqOiXQmphqjGEcR9wuBgqS8vK-WXbdQHiOW477qGGY7nyV7vyI7QOxfeMv0fhG1OJzLm5S65Fa0hGmfWeBqCAO8Yn02sCgIW5Q65E31MXXJ44fG0jZIh00xOd88pbV4udC2q9FIq1okabJqh2G23kKt3xnEsCPuCkYnwUsdNPD7QfntxWjVJgZqXjtIgTs59VQTLGATU9IQFw4GgVFgDHcWOFrK81iT4A-EXSiDruFcDNoqeKfYnsMczqnIOSiIYFdymqJu0Pm01ku97O4ahyuXVsqj1hsPjXFIwjXsqEMA01trsjqJxDjms7uG5eD2G5ymPWQ363hW5RxnOGXRAAAbfQMbfPMp64IAeSNp1Xy9D7Va0o2inQs9gY0i2V9gU6mi8CEIo1Abi9MBT8gXjpKiM0cBLQF4JDZT0zZrk11BW42LxuYc8510H7B6LnoOffwTFCh0dBA3til52aVRECb_wy0LlA-Lm0hUPzximNuzo15jw_5G4kLdyL0InMccGAFCRDCWSUOEMOklSpblkkwhjDc2r2Q8Bag53wAqNk5maSnUik4ycLFfZRtvybUoPXhq8zf3qO0QlzE-U_DHuLBMA_puVKxFjONzMt2ilLvhKUYfuKDYyzwPgvKAfL2DLe1RAzdTGpCBEMle2N4oW5FMkWc_COokjx9GHOUYwvIvmqZhgCXAHL34w3xFot7IU-p-JqkmW_O-TTTVrSFVP4l0x1FZj2vHb6jLMNoNr1nVYYBW1Pbr3znhKFVEJOWq85tb9CVynOVvCgslAV0qQ1ajiZjNXhpoY0VSD7IZagf8oj9CSmA~2?etext=2202.lPP8dNumDTdkl_VluqL5DNi5VsqkmpLuK9B-iijGu-ZkZ3FsbWVrYmxwcGFkY3Nw.b86ace08a2a399b438176f6797e700fd6a502568&from=yandex.ru%3Bsearch%26%23x2F%3B%3Bweb%3B%3B0%3B&q=%D1%82%D1%83%D1%80%D1%8B+%D0%BF%D0%BE+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8,yabs.yandex.ru,,2,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,drugoymagadan.ru›Авторский тур по Колыме! Все включено!,"Авторский тур по Колыме. Все включено: трансфер, питание, проживание, экскурсии... · Ранее бронирование. до 31.12.25",https://yabs.yandex.ru/count/WdSejI_zOoVX2LaX0aqJ0BCZYIMSm0cOlM42UZFyj_j0m7i10Hs272VAdIRGvtEvisVxdJjlkFFrErvlkCETaIHKmmY9Xb5IBSEAP0KYiOGqeeXQfSgW4jqmah64L3rW1qpPF75TMZb6Adq4CyxIDZ00WuwZ2KG-FZu-FYKwJ4KOlKu5DA4B2DC5U1CeW0jZYbo05iPKOG5Q65E41MXXJ4KfG0jZQh00BOmfA0LeOKm95g1j4QULypNnXCOLpy6G73bTkWyH3WcB7f_QTjerTQZ6VUEszEcCIc_SAPtQKLngrr4fr8bBeVaJ2fq-erAR1GxMGm6oqGdvwbomt7ZzaJ0jMcJ2DMxQpIv50YnxGrVdymqJu0Pm01kuU1qKDpkni9-MLiFU3FjfQJLiUyWI1U3IkgxlUetkQRPjE0mVIAiX8O0l65E30MmTq6ftc2Wwp9e8BvWn-4YYlo4P16SjR4qC2j0bWY892bZOGOSrUOGfR3q57MP2sKAHkRyOSbF7Wfbqx1uZPiRe7iQimODS0WIkV4Km0uC28fOpkEJ4DFNevlV7KFl3j9b9sWVlO17yNvmeuk_5YIB-t0BehlxkUpZv-5eHcCf-LWIcCgPvWWusPdc23hPTrtMTDbk0qWJ9DG2sYnYz3u3j8aPlS_Yo5pzc0Nlo1n891_PZseCHWFoAqkQ_NaVBqvtybjPr9XqjJtVosZ-93LC9-gndvagbKYbKenN0zdfMnx0aGFa1KCH7YmEUjD015Vpc4l37b6gx9mO6ONr6PxOtKnP1AaG-0i8FFQ7ouD83KfQdFYo84TSajSN7VgdnqvW_1uZ5WIqQygX81LbfFNPM~2?etext=2202.lPP8dNumDTdkl_VluqL5DNi5VsqkmpLuK9B-iijGu-ZkZ3FsbWVrYmxwcGFkY3Nw.b86ace08a2a399b438176f6797e700fd6a502568&from=yandex.ru%3Bsearch%26%23x2F%3B%3Bweb%3B%3B0%3B&q=%D1%82%D1%83%D1%80%D1%8B+%D0%BF%D0%BE+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8,yabs.yandex.ru,,3,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,rechflot.ru›круизы…,"Круизы на теплоходе «Григорий Пирогов» – маршруты, каюты, цены. Скидки до 20%! · Лучшие предложения. Бронирование на сайте. Популярные маршруты. Комфортные каюты. Экскурсии. развлекательная программа",https://yabs.yandex.ru/count/WdmejI_zOoVX2La_0dKJ0EFZY2MSm0cOlM42UZFyj_j0m7i10HtwV2vtzco_S-SDTxv-n-iDTxZHf_DPFvtF4ZTCaAXX9CC8IUY8n1BI22MZeUkC82lITGTCsJnnNLevHYfz13FEqZOm08EEOv4zlMW1JUW2mXKm5i25CKKkG0jZgh00BOmfmWAqCAQY5A25CJLOW1R659G2j32c10lGjeZJolcQa2AZ9fDK949EbrwYIxfz23C_UBq7BeiUdzfssZLrgCPzuxRqwOnARzmfdTfHN6hNKIdKYKkX-HCAdJwZKfi53jP30RBH2VdgNB3SU8cW-8PIU3cVRvW0Du03sC15eClN3D5h5VRJqchOcs4_BQs6RGzPeW1SUggcxBDtL8CruXozHlSqspOSXW-arP0Gm1UCgS40jWxeLjuY7hl7_NkyOCRW8ud-XcGGdBMmDG4bHgm1ewS52plei2OFFGfRJq67cL3-SUCOSbF7Wfbqx1uZPiRe7iQimODS0WIkV4Km0uC28fOpkEJ4DFNevdT3duyVxW3BZm_6q2JbVozy8VdU2rz8FZS35-pl9g2uNyj0q-JFCj0qoJJ7cCqnop5cSymnS-cDMUwxhkiwRRO0fGcIYy8MBxrJsEAbjympNyvPcuJovEyrnxZrOzg34JW_aRNvhzS1pKy8_PRMTIOTqFo4q6l_95GNBO8-wxtkiRXPFT73yXHOFgAPkLAfL0hLQ0MmlPxLCInDA3-G8KSY3tZIGWSN_04FJ0vojT0jeQC83lYAGQygREpjNXJYpaXc6m9baKx_qJnLEhixFBvWzNfyLQI7MPtGIl9hyUpQC_fCbloeHPCbifB5LCu0~2?etext=2202.lPP8dNumDTdkl_VluqL5DNi5VsqkmpLuK9B-iijGu-ZkZ3FsbWVrYmxwcGFkY3Nw.b86ace08a2a399b438176f6797e700fd6a502568&from=yandex.ru%3Bsearch%26%23x2F%3B%3Bweb%3B%3B0%3B&q=%D1%82%D1%83%D1%80%D1%8B+%D0%BF%D0%BE+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8,yabs.yandex.ru,,4,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,travelution.ru›Туры в горы…,Туры по самым красивым местам,https://yabs.yandex.ru/count/WdSejI_zOoVX2LbU0aqJ0DCYXIMSm0cOVG9SRvY0tWp_xJuGyC8We4EVp-NEdkrtxdpNryxNxtYzuGuNYLgZY1f24VM86aADP5LAeXB9AFefeXvHGo2nX3IYo4X8QMd8MeEAfAHZ1qpPF75TMZb6Adq4CyxIDZ00WuxZNSqY1GKqeGi8qmLu4oY02sEAN80MnbHX0LeOKuG5Q65CHIb02sDgi00jZ2ae1MXXJ0aMe6qHfvNpDG5e-29Bv8x9wT9BYXY6VGZ_3rxlWSkYnwUsdNPD7QfntxWjVJgZqXjtIgTs59VQTLGATU9IQFw4GgVFgDHcWOFrK81iT4A-EXSiDruhOY3mq41pFjym0Mu01x21ImBi1iHEBEodfTMmDyD-MbeDsnwoH06uz5HDsOWiggz6J8DrNTTrlKRtDDis78OFfDMG4C0NZAd10BOzMAqNWuya-XkIGN3MmjQ4ayWHFaYGmOw57NHOauSUXMqRbsuCkQbZmKmwTeyHCsDq3sE6-NgGIu30bQy8Pc1GGCHo1fUScAOUtVpY13hvuQD4fW-EaUBaVskOVMyDiy_rLFhV2p12vMkNVd4_k_IBOvfZu1QPvHYuHUQOkVHIMEwxhkiwRRO0fGcIYqCLnZzwvr25yO_UqbQ-xBjEpdMU_8C4QY7wCUt12NpPJSdpNzokIbzP7_nAyze_kVrX9OLcvagbKYbKenN0zdfMnx3yGFd3POSB7F2aXGuP_CR21uJiTZ9rK0EdVrvji0ixrtqzVvqvuPpeygALykfPoFecgwNtCDqpakLoOPzZLeu7-hurS9o3Cgsn5eVTNaPqqifP5XtYnkuqGbPM8MaH~2?etext=2202.lPP8dNumDTdkl_VluqL5DNi5VsqkmpLuK9B-iijGu-ZkZ3FsbWVrYmxwcGFkY3Nw.b86ace08a2a399b438176f6797e700fd6a502568&from=yandex.ru%3Bsearch%26%23x2F%3B%3Bweb%3B%3B0%3B&q=%D1%82%D1%83%D1%80%D1%8B+%D0%BF%D0%BE+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8,yabs.yandex.ru,,5,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,rtoperator.ru›Туры-по-России…,Экскурсии на автобусе по городам России от туроператора. ... Заказать тур. 21-23 ноя.,https://yabs.yandex.ru/count/WieejI_zOoVX2LdL0kKL0AFcbIMSm0cO4wZY3HFGc-6_tGS2tWi8wD3dSxcpP_kTEs-uy_KxNc-umyrXvoWo4f9XHSgnX3J26eIqP9IK8yaQH1qw-WaI8g8MtQZci1xTKFh9KKKoid73IiFvp54LEifnsqveT9exez0SLI4PEN9KXQWvSbI5WdACOAqMKM_aI5egeKHLIf96fTBdy_cqfT9ycjksKpf4dK73QdH4uWRIaXA99QGHI4PAL2JhaP4IqWWRDco0APidhikhdWnANu94at6Y6GOTHnE8V7nyV7nAO4oH2z32c2eiG0jZYh00BOofA0LeOKmD5g25CGMb02sCAS42j2tYj7A-9leM4A6pCVDokdIVrvAq3-7b1w_tmCrn8AEW2p30O08U261CPt2m7WgGZKx8L-U2vSPBesG3ZHmBdCytJ80Rm05iuEP04VlY5FRJqchOcs4_BQs6BJrLK_PMKOAyrOXpz1hTqspRS1W-a5P3GW1VCAO60zWwe5jv9mWfZFEcNJ1Zy954VqCo2CvQs9h08aUc8xSZWuKTT5Y5SeWoAXvw5BPtJhx4a9iw5ioaO_KOCJD6zp1c3t8950XWHmaIC5qC2eXOpk2I4zFKevjV8Scs7rxkLSe-c8DQsl_2C8dxNXWcSPyxuSVPtt-kq7sjXwcxd_KmTSSqn_WLCiioN9emnxkkwpfjRZw91PvfdjGYwPtcIIsItdf6NwOD3wCy-NS9oYdwCUt124pHKfNvRmbwJMD6lwLrNJ_hDOqPlVP_wN8cy-6pFWCTlZAOAvLAfL2DLeEzRAByIdmMgsLAIpW17lojTpPcdj9r6qcye0c2KxCMAyPKnEVT_CHMOKCKQD-uP1lh30Dj50DzjsJlcyoo03p3WJOvW9aiNIcAQtTffEkLTCVU5SBfbGMMooQ28oDkHj1ap49QD5_aFUh2IZfi5G80~2?etext=&from=&q=,yabs.yandex.ru,,6,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,youtravel.me›Авторские-туры…,Авторские туры по России в 2025-2026 году Только проверенные тревел-эксперты. Реальные отзывы от путешественников. Помощь в...,https://yabs.yandex.ru/count/WgqejI_zOoVX2Lbu0lqK03DcaYMSm0cO4wZY3HFGc-6_tGS2tWi8wD3dSxcpP_kTEs-uy_KxNc-umpqoKgAHPAtco95a3Q8E7Vq42H5HYsvKSpnpH9tH-mbrtlaJcYEAuqwfT0grfNOE-vPAe_QTuz0SEVI9tzBRjWhzB27z9FtSgFBxYfdycFpgnBeVYHj8IaLBHa4aaf2MZ9H8M8b635bhK96Kbenk0Ew0APidhikhdWnANu94at6Y6GOTHnE8V7nyV7nAO4oH2z32c2eiG0jZYh00BOofA0LeOKmD5g25CGMb02sCAS42j2SYZ-HyJGX6aIo0mmqbfwi4tkC-X9aVlDu3DyU1Z88km0232NWWW36TmS5wA40sEY5VdGkM6wzVEzBtP36GIPpZpSvqGJJfWx3p-OO9S0CuW0tS4NvNLRuuXVsqj1hsPjXFIwjXwu2kxtgDxccsRJWC7qYh8I60BnXJWm5i7T1glvYM-fKiadqNp1Xy9D7Va0o2inQs9gP4SANrhKnOs467LIYNAEjE2bkxBfCOCWOeNGSpwTWzHioCqJsCsODS0WK2s56214mNWm8YbZEuvCGqzUZcju308J_iisk27popzVI_JIU8tzjqWlYvCLZptsykTLzxCxRZPs_6TZ3DCU4oPjd2cW_cUDTrNQVDpIUnm3FTIDDZ2uLkMZHOmoIJCNhNCCbaZDvUVTcBOO6SysIVH549eX_J7dp0bQjpel-MiAXufCjlQLtNpukAHxgyrkDHGV8LwBC-0ns-CfWhbKgbK8rMWxqSGVct86ZwCgKbd1hybRJXlWlSsG4wt83CtQb6ixLyBFK2JG3scI8HchmI3bSmXJcZ9rkAaqMLYlUEzE53p_iwE2ddKN55s7jmfCerGAd8mj2usxB-gMuBX9NRO3S5~2?etext=&from=&q=,yabs.yandex.ru,,7,2025-11-12 16:47:35,False
Яндекс,Яндекс.Директ,туры по россии,level.travel›Официальный-сайт-тур...,Горящие туры по России с вылетом из Москвы 2025. Быстрый поиск по всем ведущим туроператорам. Сравнивайте цены на сайте и в приложении...,https://yabs.yandex.ru/count/WpiejI_zOoVX2Ld30sqP06EhfdxDopW1Sm9Ll642UZFyj_j0mFiHqA7Fvt9dp_OxTzvmv-jtlDvmXtl2WXCZMAj5L0tg5onAA0rTgI5-ga8-pnIvZ_DvOWh2YGB4pvra3Q8E7Vq42H5HYsvKSoGP7UM8vlRzpEyyVzgu7RsTqzpEKHMYvgWAoSXH5GhAyVECHgKu58z6eSvdZghGKD6DGvsuZJkbEOQ6g3z7HDNw1f9IqP9HK8sqPAJqKxLQhpKrgVfpHVgftlXH6i5Qf6GqWmHLA2bfgKLjmoWeoMW24bOaew6Z4QmaXgmrg4XA8uQiDQn3J20xOChcYUlogYU3qfSWqMISQ8P1nz448XyV7n-V4XXJv0AqCAOA2z32c28iG0jZAae1MXXJWmLeOKn1AK0BOqgm06sBEAsShmCq0Bpsfn-TqwMNmFsXVGZ_3rxlWNiT7nPEic454HlWc-D0Ha4NO83113mGm9ZEu60z520RdP2lpWNBZHTc2nUgyUAI8c0tEmsAB49AKCxd6oR03U00Dd19x0Wasuc5_RIq6lPcs4zBgs6BGTTtlKRtDDis78OFfDMG4C0NZAd10BOEQBLxp64IAeSNp1Xy9D7Va0o2inQs9g9C9o3_SB31mWuwh4AP-kKhetDmqocOcppqA6pL8grYo4qT2sRIiNgCc1cZUnYp1xa42WImemG9c2u61KGiPt39YMdgqSrlSzlZXpcO3Num1QZzVsEoRjyRatNxt0c1MlvkW97zQpyCAlxiXq55fXc6Z8vPdh3un1mpbzxcSjzrNTTfS_D9BF1SeV1HZDuh53wAqLjQq9SzcThSdoV_87TC9lsOzk04jdhmwF9VdAvijkjMMsAl_PDOTebzFkipqE4hWxbIgLGArMWrs4mZoXyKnMIYJ6a99pByP_xS2BuA2FZgJU2TMfL-kqzTNyh9XYsCvkERVypeaOYI8I4GZEDpluhLq76yVC6uY2-AOK5WKA5jH-3jzQgnJy4-Cjz73ZZBmmmAejgbovwJfbPoK2UXfdw_0MtckmMhuHwuHAKk6N7DyzHeVpsYSJLtb7ew9cPLtjUt45plzcLSSDsVnw8puq1OgQ-7IG00~2?etext=&from=&q=,yabs.yandex.ru,,8,2025-11-12 16:47:36,False
Яндекс,Яндекс.Директ,туры по россии,bolshayastrana.com›tury,Варианты туров по России многочисленны и разнообразны. ... 3589 восхитительных туров по всей России. Прямая цена без наценок агентств.,https://bolshayastrana.com/tury,bolshayastrana.com›tury,,9,2025-11-12 16:47:36,False
Яндекс,Яндекс.Директ,туры по россии,tours.tutu.ru›strana/rossiya/,Путевки по России от всех туроператоров. Мы собрали на этой странице наши лучшие туры по России в 2025—2026 году.,https://tours.tutu.ru/strana/rossiya/,tours.tutu.ru›strana/rossiya/,,10,2025-11-12 16:47:36,False
